step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
1040.0,[816],[683173.3333333342],[2141773.3333333354],[0.0]
1041.0,[816],[683173.3333333342],[2141773.3333333354],[0.0]
1042.0,[816],[683173.3333333342],[2141773.3333333354],[0.0]
1043.0,[816],[683173.3333333342],[2141773.3333333354],[0.0]
1044.0,[819],[685685.0000000008],[2149647.500000002],[0.0]
1045.0,[820],[686522.2222222231],[2152272.222222224],[0.0]
1046.0,[820],[686522.2222222231],[2152272.222222224],[0.0]
1047.0,[820],[686522.2222222231],[2152272.222222224],[0.0]
1048.0,[820],[686522.2222222231],[2152272.222222224],[0.0]
1049.0,[820],[686522.2222222231],[2152272.222222224],[0.0]
1050.0,[820],[686522.2222222231],[2152272.222222224],[0.0]
1051.0,[820],[686522.2222222231],[2152272.222222224],[0.0]
1052.0,[825],[690708.3333333342],[2165395.833333335],[0.0]
1053.0,[825],[690708.3333333342],[2165395.833333335],[0.0]
1054.0,[825],[690708.3333333342],[2165395.833333335],[0.0]
1055.0,[828],[693220.0000000008],[2173270.0000000014],[0.0]
1056.0,[828],[693220.0000000008],[2173270.0000000014],[0.0]
1057.0,[828],[693220.0000000008],[2173270.0000000014],[0.0]
1058.0,[828],[693220.0000000008],[2173270.0000000014],[0.0]
1059.0,[828],[693220.0000000008],[2173270.0000000014],[0.0]
1060.0,[828],[693220.0000000008],[2173270.0000000014],[0.0]
1061.0,[828],[693220.0000000008],[2173270.0000000014],[0.0]
1062.0,[832],[696568.8888888897],[2183768.8888888904],[0.0]
1063.0,[832],[696568.8888888897],[2183768.8888888904],[0.0]
1064.0,[832],[696568.8888888897],[2183768.8888888904],[0.0]
1065.0,[832],[696568.8888888897],[2183768.8888888904],[0.0]
1066.0,[836],[699917.7777777786],[2194267.7777777794],[0.0]
1067.0,[836],[699917.7777777786],[2194267.7777777794],[0.0]
1068.0,[837],[700755.0000000008],[2196892.5000000014],[0.0]
1069.0,[840],[703266.6666666674],[2204766.666666668],[0.0]
1070.0,[840],[703266.6666666674],[2204766.666666668],[0.0]
1071.0,[840],[703266.6666666674],[2204766.666666668],[0.0]
1072.0,[840],[703266.6666666674],[2204766.666666668],[0.0]
1073.0,[840],[703266.6666666674],[2204766.666666668],[0.0]
1074.0,[840],[703266.6666666674],[2204766.666666668],[0.0]
1075.0,[840],[703266.6666666674],[2204766.666666668],[0.0]
1076.0,[840],[703266.6666666674],[2204766.666666668],[0.0]
