step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
4283.0,[1517],[1579922.02402979],[4965406.03341001],[9157.0]
4290.0,[1520],[1581834.4328853348],[4971401.93824872],[9234.0]
4295.0,[1525],[1582631.9114395012],[4973902.103939537],[9245.0]
4302.0,[1525],[1582631.9114395012],[4973902.103939537],[9245.0]
4307.0,[1530],[1583709.1524603947],[4977279.504008553],[9303.0]
4314.0,[1532],[1583709.1524603947],[4977279.504008553],[9305.0]
4319.0,[1538],[1589803.166427492],[4996385.972254906],[9313.0]
4326.0,[1545],[1600729.0271413797],[5030706.842991113],[9471.0]
4331.0,[1548],[1600729.0271413797],[5030706.842991113],[9478.0]
4338.0,[1552],[1605861.0750308132],[5046954.170258121],[9491.0]
4343.0,[1553],[1608177.401510678],[5054216.475844194],[9505.0]
4350.0,[1560],[1610883.163801801],[5062699.71422298],[9554.0]
4357.0,[1564],[1612267.8916558481],[5067041.174983477],[9554.0]
4362.0,[1567],[1617416.5237872207],[5083183.5347916195],[9558.0]
4369.0,[1569],[1620362.8261808269],[5092421.0205277],[9600.0]
4374.0,[1575],[1629412.4072915376],[5120792.135782127],[9612.0]
4381.0,[1575],[1629412.4072915376],[5120792.135782127],[9612.0]
4386.0,[1580],[1640195.767699565],[5154598.037596459],[9828.0]
4393.0,[1582],[1645856.564461135],[5172346.240193795],[9828.0]
4398.0,[1582],[1645856.564461135],[5172346.240193795],[9828.0]
4405.0,[1589],[1660733.9217581695],[5218989.971529851],[9933.0]
4410.0,[1595],[1664059.257754291],[5229415.631685466],[10106.0]
4417.0,[1600],[1675691.54583608],[5265885.882647419],[10108.0]
4422.0,[1604],[1681679.5958460032],[5284660.213960715],[10280.0]
4429.0,[1606],[1685393.2977877893],[5296302.33328938],[10300.0]
4434.0,[1610],[1696556.5546308083],[5331302.390666455],[10405.0]
4441.0,[1615],[1709689.7416488228],[5372478.727329128],[10436.0]
4446.0,[1618],[1709689.7416488228],[5372478.727329128],[10436.0]
4453.0,[1624],[1718585.7337674003],[5400369.869673215],[10454.0]
4458.0,[1626],[1718585.7337674003],[5400369.869673215],[10455.0]
4465.0,[1628],[1720011.0865998997],[5404838.707074017],[10455.0]
4470.0,[1630],[1724501.9573907463],[5418918.924566382],[10455.0]
4477.0,[1635],[1729110.8248958464],[5433368.445959403],[10455.0]
4482.0,[1637],[1742207.114610306],[5475000.113197301],[10458.0]
4489.0,[1642],[1746870.8432539897],[5489622.292671722],[10492.0]
4494.0,[1644],[1763532.0752250557],[5542407.264803812],[10497.0]
4501.0,[1650],[1769007.7077655708],[5559572.637359856],[10519.0]
4508.0,[1651],[1772136.3795522985],[5569381.910979016],[10570.0]
4513.0,[1656],[1788821.6264822122],[5622355.369465041],[10595.0]
4520.0,[1656],[1788821.6264822122],[5622355.369465041],[10595.0]
4525.0,[1661],[1796652.7945967135],[5646908.212013962],[10621.0]
4532.0,[1663],[1811711.5002452692],[5694639.474386191],[10623.0]
4537.0,[1667],[1816806.1131796786],[5710612.394595692],[10656.0]
4544.0,[1670],[1816806.1131796786],[5710612.394595692],[10660.0]
4549.0,[1675],[1827442.956427594],[5744001.322449907],[10757.0]
4556.0,[1678],[1832487.056622246],[5759816.042172292],[10757.0]
4561.0,[1681],[1836973.0202149646],[5773880.660935241],[10757.0]
4568.0,[1686],[1837999.9855172026],[5777100.429045973],[10806.0]
4573.0,[1687],[1839651.726836494],[5782279.019267667],[10806.0]
4580.0,[1691],[1847953.2700661374],[5808306.561205548],[10813.0]
4585.0,[1694],[1852388.372768723],[5822211.778877585],[10813.0]
4592.0,[1701],[1854438.6157894444],[5828639.818393212],[10866.0]
4597.0,[1704],[1856268.4137842245],[5834376.720254677],[10873.0]
4604.0,[1708],[1859129.1748196962],[5843346.016963141],[10987.0]
