step,agent_total_vehicles_passed,agent_total_stopped,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
2158.0,[1012],[342],[634419.9715997183],[1989048.2681440967],[0.0]
2163.0,[1013],[342],[635273.0159795018],[1991722.7291158917],[0.0]
2170.0,[1016],[344],[638403.093461986],[2001536.2336763353],[0.0]
2175.0,[1020],[344],[640023.5820276255],[2006616.8026859611],[0.0]
2182.0,[1023],[345],[642730.7657126968],[2015104.4086683725],[0.0]
2189.0,[1026],[347],[646548.4198227503],[2027073.7020352564],[0.0]
2196.0,[1030],[348],[650482.9128362719],[2039409.2090088446],[0.0]
2201.0,[1032],[348],[651789.0777201325],[2043504.2742518617],[0.0]
2208.0,[1035],[351],[655929.7015522614],[2056486.174688755],[0.0]
2213.0,[1037],[351],[656654.3389230878],[2058758.050856394],[0.0]
2220.0,[1040],[354],[658087.7720897307],[2063252.1056678223],[0.0]
2225.0,[1043],[354],[659641.8017362577],[2068124.2836524684],[0.0]
2232.0,[1047],[356],[661292.0705500164],[2073298.2227844961],[0.0]
2237.0,[1048],[356],[661292.0705500164],[2073298.2227844961],[0.0]
2244.0,[1052],[358],[663952.0701789359],[2081637.8918166591],[0.0]
2251.0,[1055],[359],[665134.7296905605],[2085345.804577203],[0.0]
2256.0,[1057],[359],[666505.2376286822],[2089642.5846220474],[0.0]
2263.0,[1061],[361],[668564.0325519554],[2096097.3690683497],[0.0]
2268.0,[1063],[361],[669827.4042301001],[2100058.2463861424],[0.0]
2275.0,[1066],[363],[671013.9333583581],[2103778.2957437066],[0.0]
2282.0,[1070],[363],[672674.0706924745],[2108983.172689891],[0.0]
2287.0,[1071],[363],[674382.9696409681],[2114341.0261936747],[0.0]
2294.0,[1075],[367],[676589.5017106261],[2121258.928183126],[0.0]
2299.0,[1078],[367],[678441.9306042315],[2127066.614516698],[0.0]
2306.0,[1081],[368],[681094.5251989088],[2135383.050933729],[0.0]
2311.0,[1083],[368],[681859.9414997097],[2137782.7876269417],[0.0]
2318.0,[1087],[369],[684481.0123932027],[2146000.400204771],[0.0]
2323.0,[1089],[369],[685662.0203223561],[2149703.038750807],[0.0]
