step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
2659.0,[787],[897935.8589894779],[2822117.0144551094],[3583.0]
2664.0,[792],[897935.8589894779],[2822117.0144551094],[3588.0]
2671.0,[796],[897935.8589894779],[2822117.0144551094],[3601.0]
2676.0,[798],[897935.8589894779],[2822117.0144551094],[3619.0]
2683.0,[802],[897935.8589894779],[2822117.0144551094],[3619.0]
2688.0,[805],[899394.6705762778],[2826690.7340607685],[3650.0]
2695.0,[808],[904112.9254821857],[2841483.8666510517],[3692.0]
2702.0,[810],[904112.9254821857],[2841483.8666510517],[3692.0]
2707.0,[811],[904112.9254821857],[2841483.8666510517],[3695.0]
2714.0,[814],[904112.9254821857],[2841483.8666510517],[3695.0]
2719.0,[817],[904112.9254821857],[2841483.8666510517],[3695.0]
2726.0,[820],[906545.5007596222],[2849110.6728396155],[3695.0]
2733.0,[822],[907406.1351046961],[2851808.949303513],[3713.0]
2738.0,[826],[912182.1994198163],[2866783.11400562],[3723.0]
2745.0,[830],[914751.8103073264],[2874839.416075942],[3793.0]
2750.0,[835],[920074.3350460998],[2891526.923741056],[3853.0]
2757.0,[838],[927288.679864986],[2914144.452394439],[3910.0]
2762.0,[842],[927288.679864986],[2914144.452394439],[3916.0]
2769.0,[847],[927288.679864986],[2914144.452394439],[3929.0]
2774.0,[849],[927288.679864986],[2914144.452394439],[3943.0]
2781.0,[850],[927288.679864986],[2914144.452394439],[3943.0]
2786.0,[854],[928735.5894032153],[2918680.8760595038],[3970.0]
2793.0,[858],[928735.5894032153],[2918680.8760595038],[3976.0]
2798.0,[862],[930181.0290690117],[2923212.7018423597],[3976.0]
2805.0,[864],[931195.2068321968],[2926392.3419029578],[3976.0]
2810.0,[866],[934268.622798572],[2936028.377518814],[4005.0]
2817.0,[866],[934268.622798572],[2936028.377518814],[4005.0]
2822.0,[866],[934268.622798572],[2936028.377518814],[4005.0]
2829.0,[868],[939467.4923204936],[2952328.386465011],[4005.0]
2836.0,[872],[941298.6689424303],[2958069.577692768],[4037.0]
2843.0,[875],[946262.0314343325],[2973631.119706332],[4037.0]
2848.0,[875],[946262.0314343325],[2973631.119706332],[4037.0]
