step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
3285.0,[2151],[1584311.1275197468],[4967083.634292538],[0.0]
3286.0,[2151],[1584311.1275197468],[4967083.634292538],[0.0]
3287.0,[2151],[1584311.1275197468],[4967083.634292538],[0.0]
3288.0,[2156],[1588143.3773571881],[4979098.5116306925],[0.0]
3289.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3290.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3291.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3292.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3293.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3294.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3295.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3296.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3297.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3298.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3299.0,[2159],[1590247.8198225298],[4985696.3078609295],[0.0]
3300.0,[2162],[1592515.2978027822],[4992805.18644383],[0.0]
3301.0,[2164],[1593906.4548295499],[4997166.699003974],[0.0]
3302.0,[2164],[1593906.4548295499],[4997166.699003974],[0.0]
3303.0,[2166],[1595444.9866747493],[5001990.07860874],[0.0]
3304.0,[2166],[1595444.9866747493],[5001990.07860874],[0.0]
3305.0,[2166],[1595444.9866747493],[5001990.07860874],[0.0]
3306.0,[2166],[1595444.9866747493],[5001990.07860874],[0.0]
3307.0,[2166],[1595444.9866747493],[5001990.07860874],[0.0]
3308.0,[2167],[1596159.0767710884],[5004228.802495912],[0.0]
3309.0,[2167],[1596159.0767710884],[5004228.802495912],[0.0]
3310.0,[2167],[1596159.0767710884],[5004228.802495912],[0.0]
3311.0,[2167],[1596159.0767710884],[5004228.802495912],[0.0]
3312.0,[2173],[1600678.852179566],[5018399.203235371],[0.0]
3313.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3314.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3315.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3316.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3317.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3318.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3319.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3320.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3321.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3322.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3323.0,[2177],[1603437.2132751043],[5027047.131893784],[0.0]
3324.0,[2179],[1604966.4974937025],[5031841.748655508],[0.0]
3325.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3326.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3327.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3328.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3329.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3330.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3331.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3332.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3333.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3334.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3335.0,[2181],[1606353.4268911912],[5036190.006629448],[0.0]
3336.0,[2187],[1610799.4567780555],[5050129.177350958],[0.0]
3337.0,[2189],[1612183.7843269894],[5054469.276378364],[0.0]
3338.0,[2189],[1612183.7843269894],[5054469.276378364],[0.0]
3339.0,[2189],[1612183.7843269894],[5054469.276378364],[0.0]
3340.0,[2189],[1612183.7843269894],[5054469.276378364],[0.0]
3341.0,[2189],[1612183.7843269894],[5054469.276378364],[0.0]
3342.0,[2189],[1612183.7843269894],[5054469.276378364],[0.0]
3343.0,[2189],[1612183.7843269894],[5054469.276378364],[0.0]
3344.0,[2189],[1612183.7843269894],[5054469.276378364],[0.0]
3345.0,[2189],[1612183.7843269894],[5054469.276378364],[0.0]
3346.0,[2190],[1613013.0291210806],[5057068.990187812],[0.0]
3347.0,[2191],[1613820.600469095],[5059600.76022],[0.0]
3348.0,[2195],[1616786.7872953087],[5068900.337020045],[0.0]
3349.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3350.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3351.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3352.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3353.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3354.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3355.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3356.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3357.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3358.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3359.0,[2197],[1618140.0727598262],[5073143.0994884735],[0.0]
3360.0,[2202],[1622007.6365699125],[5085268.707205525],[0.0]
3361.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3362.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3363.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3364.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3365.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3366.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3367.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3368.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3369.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3370.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3371.0,[2205],[1624093.2556423184],[5091807.477630181],[0.0]
3372.0,[2208],[1626335.5664547295],[5098837.452604037],[0.0]
3373.0,[2211],[1628493.5027998327],[5105602.822304818],[0.0]
3374.0,[2211],[1628493.5027998327],[5105602.822304818],[0.0]
3375.0,[2212],[1629292.6108364775],[5108108.060929195],[0.0]
3376.0,[2212],[1629292.6108364775],[5108108.060929195],[0.0]
3377.0,[2212],[1629292.6108364775],[5108108.060929195],[0.0]
3378.0,[2212],[1629292.6108364775],[5108108.060929195],[0.0]
3379.0,[2212],[1629292.6108364775],[5108108.060929195],[0.0]
3380.0,[2212],[1629292.6108364775],[5108108.060929195],[0.0]
3381.0,[2212],[1629292.6108364775],[5108108.060929195],[0.0]
3382.0,[2212],[1629292.6108364775],[5108108.060929195],[0.0]
